course_name,course_domain,course_description,course_level,platform,organisation,course_rating
Python for Everybody,Programming,"Learn to program and analyze data with Python. This course covers basics of programming computers using Python, including installation, variables, conditionals, loops, functions, and data structures.",Beginner,Coursera,University of Michigan,4.8
Python Crash Course,Programming,"A fast-paced introduction to Python programming. Covers variables, data types, lists, tuples, dictionaries, functions, classes, and file I/O with hands-on projects.",Beginner,Udemy,Eric Matthes,4.7
Complete Python Bootcamp: From Zero to Hero,Programming,Learn Python like a professional. Start from the basics and go all the way to creating your own applications and games. Covers Python 3.,Beginner,Udemy,Jose Portilla,4.6
Python Programming – Full Course for Beginners,Programming,"Learn Python programming basics in this full beginner course on freeCodeCamp YouTube channel. Covers variables, data types, loops, functions, and OOP.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.7
Introduction to Python Programming,Programming,"An introductory course covering Python syntax, control flow, data structures, functions, and modules. Includes interactive coding exercises.",Beginner,edX,Georgia Tech,4.5
Python Data Structures,Programming,"Explore data structures through Python. Covers lists, dictionaries, tuples, sets, and advanced data structures with real-world applications.",Intermediate,Coursera,University of Michigan,4.8
Automate the Boring Stuff with Python,Programming,"Practical programming for total beginners. Learn to automate everyday tasks using Python scripts, file manipulation, web scraping, and Excel automation.",Beginner,Udemy,Al Sweigart,4.6
Python Beyond the Basics – Object-Oriented Programming,Programming,"Deep dive into OOP concepts in Python. Covers classes, inheritance, polymorphism, encapsulation, and design patterns.",Intermediate,Udemy,David Blaikie,4.5
Scientific Computing with Python,Programming,"Learn scientific computing with Python using NumPy, SciPy, and Matplotlib. Covers numerical computation, data visualization, and scientific problem solving.",Intermediate,freeCodeCamp,freeCodeCamp,4.6
Python for Data Science and AI,Programming,"Learn Python for Data Science and Machine Learning. Covers NumPy, Pandas, Matplotlib, Seaborn, and scikit-learn.",Intermediate,Coursera,IBM,4.5
Advanced Python,Programming,"Advanced Python topics including decorators, generators, context managers, metaclasses, async programming, and performance optimization.",Advanced,Pluralsight,Robert Smallshire,4.7
Python and Django Full Stack Web Developer Bootcamp,Programming,"Become a full-stack web developer using Python and Django. Covers HTML, CSS, Bootstrap, JavaScript, jQuery, Python, Django, and REST APIs.",Intermediate,Udemy,Jose Portilla,4.5
Java Programming and Software Engineering Fundamentals,Programming,"Learn Java programming from scratch. Covers OOP, data structures, algorithms, and software engineering principles through hands-on projects.",Beginner,Coursera,Duke University,4.7
Java Programming Masterclass,Programming,"A comprehensive Java course covering all major Java concepts including OOP, collections, generics, lambdas, streams, and JavaFX.",Beginner,Udemy,Tim Buchalka,4.6
Introduction to Java Programming,Programming,"Introduction to Java covering syntax, control flow, arrays, methods, and classes. Hands-on projects reinforce core concepts.",Beginner,edX,The Hong Kong University of Science and Technology,4.5
Java Tutorial for Beginners – Full Course,Programming,"Complete Java tutorial for beginners. Learn Java syntax, OOP concepts, exception handling, and file I/O in this YouTube full course.",Beginner,YouTube (Programming with Mosh),Mosh Hamedani,4.8
Java Spring Framework Masterclass,Programming,"Master the Spring Framework ecosystem including Spring Boot, Spring MVC, Spring Data, Spring Security, and microservices with Java.",Advanced,Udemy,Chad Darby,4.7
Data Structures and Algorithms in Java,Programming,"Learn data structures and algorithms using Java. Covers arrays, linked lists, trees, graphs, sorting, and searching algorithms.",Intermediate,Coursera,Princeton University,4.6
"Java Multithreading, Concurrency and Performance Optimization",Programming,"Deep dive into Java multithreading and concurrency. Covers threads, synchronization, locks, atomic variables, and thread pools.",Advanced,Udemy,Michael Pogrebinsky,4.8
Effective Java Development,Programming,"Best practices for Java development based on Joshua Bloch's Effective Java. Covers design patterns, generics, exceptions, and performance.",Advanced,Pluralsight,Richard Warburton,4.6
C Programming For Beginners,Programming,"Learn the C programming language from scratch. Covers variables, data types, operators, control flow, functions, pointers, and memory management.",Beginner,Udemy,Tim Buchalka,4.5
C Programming Tutorial – Full Course for Beginners,Programming,"Complete C programming tutorial covering all fundamentals. Learn syntax, control structures, arrays, strings, pointers, and file handling.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.7
C Programming: Getting Started,Programming,"Introduction to C programming with focus on problem solving. Covers basic syntax, variables, I/O, control flow, and functions.",Beginner,edX,Dartmouth College,4.4
C Programming Language,Programming,"Comprehensive C programming course. Covers data types, control flow, functions, arrays, pointers, structures, and dynamic memory allocation.",Beginner,Coursera,University of California Santa Cruz,4.5
Advanced C Programming Course,Programming,"Advanced topics in C including complex pointers, data structures, algorithm design, file I/O, and systems programming.",Advanced,Udemy,Jason Fedin,4.6
CS50: Introduction to Computer Science,Programming,"Harvard's introduction to computer science using C and Python. Covers abstraction, algorithms, data structures, and web development.",Beginner,edX,Harvard University,4.9
C Programming: Language Foundations,Programming,"Covers C fundamentals, memory management, pointers, structures, and file operations with emphasis on writing efficient and portable code.",Intermediate,LinkedIn Learning,LinkedIn,4.4
Beginning C++ Programming – From Beginner to Beyond,Programming,"Comprehensive C++ course covering modern C++. Topics include OOP, STL, templates, lambdas, move semantics, and smart pointers.",Beginner,Udemy,Frank Mitropolous,4.6
C++ Tutorial for Beginners – Full Course,Programming,"Learn C++ programming from scratch with this full course. Covers variables, loops, functions, OOP, pointers, and memory management.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.7
Introduction to C++,Programming,"An introductory C++ course from MIT. Covers C++ syntax, OOP concepts, templates, and the Standard Template Library.",Beginner,edX,MIT,4.5
Unreal Engine C++ Developer: Learn C++ and Make Video Games,Programming,"Learn C++ by making games in Unreal Engine. Covers C++ syntax, OOP, game physics, AI, and Unreal Engine 5 features.",Intermediate,Udemy,GameDev.tv Team,4.7
C++ Programming – From Beginner to Advanced,Programming,"Comprehensive C++ course covering all major features. Includes OOP, STL algorithms, file I/O, exception handling, and design patterns.",Beginner,Coursera,Codio,4.3
Advanced C++,Programming,"Advanced C++ programming including move semantics, perfect forwarding, variadic templates, concurrent programming, and modern C++20 features.",Advanced,Pluralsight,James McNellis,4.6
C++ Design Patterns and Modern C++,Programming,"Covers Gang of Four design patterns implemented in modern C++. Includes creational, structural, and behavioral patterns with real examples.",Advanced,Udemy,Dmitri Nesteruk,4.5
The Complete JavaScript Course 2024: From Zero to Expert!,Programming,"Master JavaScript with the most complete course. Covers modern ES6+ features, OOP, asynchronous JS, Node.js, and projects.",Beginner,Udemy,Jonas Schmedtmann,4.8
JavaScript Algorithms and Data Structures,Programming,"Learn JavaScript and data structures & algorithms. Covers variables, arrays, objects, functions, recursion, sorting, and searching.",Beginner,freeCodeCamp,freeCodeCamp,4.7
JavaScript: Understanding the Weird Parts,Programming,"Deep dive into JavaScript internals. Covers execution context, scope, closures, prototypes, and design patterns.",Intermediate,Udemy,Anthony Alicea,4.7
Full Stack JavaScript Developer,Programming,"Comprehensive full-stack JavaScript development. Covers React, Node.js, Express, MongoDB, REST APIs, and deployment.",Intermediate,LinkedIn Learning,LinkedIn,4.4
The Web Developer Bootcamp,Web Development,"Learn web development with HTML, CSS, JavaScript, Node.js, and MongoDB. Build real-world projects throughout the course.",Beginner,Udemy,Colt Steele,4.7
Responsive Web Design Certification,Web Development,"Learn responsive web design using HTML5 and CSS3. Covers flexbox, grid, media queries, and accessibility best practices.",Beginner,freeCodeCamp,freeCodeCamp,4.6
Full-Stack Web Development with React,Web Development,"Learn to build full-stack web apps with React, Redux, Node.js, and MongoDB. Covers component design, state management, and REST APIs.",Intermediate,Coursera,The Hong Kong University of Science and Technology,4.6
"HTML, CSS, and JavaScript for Web Developers",Web Development,"Learn the basics of web development. This course focuses on practical skills including HTML5, CSS3, JavaScript, and responsive design.",Beginner,Coursera,Johns Hopkins University,4.5
Web Development – Full Course for Beginners,Web Development,"Learn web development for beginners. Covers HTML, CSS, JavaScript, and building your first website step-by-step.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.7
The Complete 2024 Web Development Bootcamp,Web Development,"Become a full-stack web developer. Covers HTML, CSS, JavaScript, React, Node, Express, MongoDB, and Web3.",Beginner,Udemy,Angela Yu,4.8
CS50's Web Programming with Python and JavaScript,Web Development,"In-depth course on web programming using Python and JavaScript. Covers Django, SQL, REST APIs, CI/CD, and security.",Intermediate,edX,Harvard University,4.8
IBM Data Science Professional Certificate,Data Science,"Launch your career in data science. Covers Python, SQL, data visualization, machine learning, and applied data science projects.",Beginner,Coursera,IBM,4.6
Data Science Specialization,Data Science,"A comprehensive data science curriculum. Covers R programming, statistical inference, regression models, and machine learning.",Intermediate,Coursera,Johns Hopkins University,4.5
Data Science and Machine Learning Bootcamp with R,Data Science,"Learn data science and machine learning using R. Covers ggplot2, dplyr, machine learning, and deep learning with Keras.",Intermediate,Udemy,Jose Portilla,4.5
Applied Data Science with Python,Data Science,"Apply data science techniques using Python. Covers data manipulation with Pandas, visualization, machine learning, and NLP.",Intermediate,Coursera,University of Michigan,4.6
Introduction to Data Science,Data Science,"Learn the foundational concepts of data science. Covers data collection, cleaning, analysis, visualization, and communication of insights.",Beginner,edX,Microsoft,4.5
Data Science: R Basics,Data Science,"Introduction to data science using R. Covers R syntax, data types, vectors, sorting, indexing, and data wrangling basics.",Beginner,edX,Harvard University,4.7
Data Science for Beginners – Full Course,Data Science,"Full beginner data science course on YouTube. Covers what data science is, Python basics, data analysis, and visualization.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.6
Machine Learning,Machine Learning,"Andrew Ng's legendary ML course. Covers supervised and unsupervised learning, neural networks, SVMs, dimensionality reduction, and best practices.",Intermediate,Coursera,Stanford University,4.9
Machine Learning A–Z: Python & R in Data Science,Machine Learning,"Hands-on machine learning course in Python and R. Covers regression, classification, clustering, NLP, deep learning, and model selection.",Intermediate,Udemy,Kirill Eremenko,4.5
Machine Learning with Python,Machine Learning,"Learn machine learning with Python using scikit-learn. Covers regression, classification, clustering, and deep learning.",Intermediate,Coursera,IBM,4.5
Machine Learning Crash Course,Machine Learning,"Google's fast-paced introduction to machine learning. Covers linear regression, classification, neural networks, and TensorFlow.",Beginner,YouTube (Google),Google,4.7
Machine Learning for Everybody – Full Course,Machine Learning,"A full beginner-friendly machine learning course. Covers supervised learning, unsupervised learning, and practical ML concepts.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.6
Machine Learning Engineering for Production (MLOps),Machine Learning,"Learn to deploy machine learning models in production. Covers ML pipelines, model monitoring, data engineering, and MLOps best practices.",Advanced,Coursera,DeepLearning.AI,4.7
Deep Learning Specialization,Deep Learning,"Master deep learning. Covers neural networks, convolutional networks, sequence models, and structuring ML projects. Taught by Andrew Ng.",Intermediate,Coursera,DeepLearning.AI,4.9
Deep Learning with PyTorch – Full Course,Deep Learning,"Complete deep learning course using PyTorch. Covers tensors, neural networks, CNNs, RNNs, and transfer learning.",Intermediate,YouTube (freeCodeCamp),freeCodeCamp,4.7
TensorFlow Developer Certificate,Deep Learning,"Learn TensorFlow to build and train deep learning models. Covers image classification, NLP, time series, and deployment.",Intermediate,Coursera,DeepLearning.AI,4.8
Practical Deep Learning for Coders,Deep Learning,"fast.ai's practical approach to deep learning. Covers image classification, NLP, tabular data, and collaborative filtering.",Intermediate,YouTube (fast.ai),fast.ai,4.8
Deep Learning with Keras and TensorFlow,Deep Learning,"Hands-on deep learning with Keras and TensorFlow. Covers ANNs, CNNs, RNNs, autoencoders, and GANs.",Intermediate,Udemy,Lazy Programmer Inc.,4.5
